address,walk_score,lat,lon
1 Candlewyck Drive,10,42.460259,-76.528169
1 Warren Wood Apts.,21,42.47699,-76.466937
1 test rd.,5,42.346046,-76.624941
"100 Fairview Square, Apt 3G",61,42.440709,-76.476425
1008 N Aurora St,68,42.451778,-76.496603
101 Dryden Road,90,42.441987,-76.487237
101 Water St,53,42.434752,-76.482039
103 Sage Pl,90,42.439583,-76.490904
103 Sage Place,90,42.439583,-76.490904
105 Catherine Street,87,42.440124,-76.486766
105 Eddy Street,82,42.438288,-76.486961
105 Terrace View Drive,75,42.428192,-76.468464
1059 Danby Road #2,17,42.40918,-76.499292
1059 Danby Road #3,17,42.40918,-76.499292
106 Cayuga Park Road,9,42.466656,-76.492878
106 East Yates,81,42.447257,-76.49879
106 Valentine Place,72,42.436307,-76.485868
"106 Valentine Place, Apartment #645",72,42.436307,-76.485868
1060 Danby Road # 3,41,42.409008,-76.503788
107 Mary Lane,0,42.450262,-76.44223
108 Blair Street,82,42.43775,-76.486029
1082 Dryden Road,7,42.460177,-76.428507
109 College Ave,91,42.438135,-76.484757
109 Cook St,87,42.439275,-76.486467
109 S. Quarry Street,82,42.437831,-76.488196
109 Valentine Place,74,42.43588,-76.485483
"109 sharlene road, Ithaca, NY",2,42.422852,-76.453344
11 Ellwood Avenue,62,42.437889,-76.478721
110 Lake St. Apt.4,62,42.450324,-76.493136
110 West Upland Road,15,42.46542,-76.491738
111 Catherine St.,87,42.440126,-76.486243
111 Dryden Rd.,91,42.441622,-76.486696
111 Dryden Rd. 1B,91,42.441622,-76.486696
111 Dryden Road,91,42.441622,-76.486696
"111 Dryden Road, Apartment 5M",91,42.441622,-76.486696
111 East Spencer St. #3,87,42.435446,-76.498031
111 Harvard Place,82,42.440328,-76.481731
111 Oxford Place,78,42.439186,-76.481921
111 S Quarry St,82,42.437616,-76.488383
111 S Quarry St Apt B2,82,42.437616,-76.488383
111 S. Quarry Street,82,42.437616,-76.488383
111 South Quarry Street B13,82,42.437616,-76.488383
112 First St.,89,42.445,-76.501516
112 Valentine Pl. Apt 831,73,42.436043,-76.486205
112 Valentine Place,73,42.436043,-76.486205
"112 Valentine Place, Apt #814",73,42.436043,-76.486205
112 W Buffalo St,96,42.441297,-76.500125
113 N. Quarry #2,88,42.439348,-76.488297
113 Valentine Place,76,42.436219,-76.485644
114 Ferris Place,82,42.438218,-76.489262
115 Birchwood Drive,1,42.468193,-76.455577
115 Fayette St,92,42.43785,-76.502377
115 Linn St,88,42.443689,-76.494374
"115 S. Quarry St., #76",91,42.436991,-76.487854
115 S. Quarry Street,91,42.436991,-76.487854
115-117 College Ave,81,42.438518,-76.485085
"116 Blair Street, Apt 2",82,42.437917,-76.486158
116 Catherine,83,42.440297,-76.48621
